node_id,type,attrs_json
cik_0000320193,Company,"{""cik"": ""0000320193""}"
filing_0000320193_000032019324000123,Filing,"{""form"": ""10-K"", ""accession"": ""0000320193-24-000123""}"
filing_0000320193_000032019325000073,Filing,"{""form"": ""10-Q"", ""accession"": ""0000320193-25-000073""}"
cik_0000789019,Company,"{""cik"": ""0000789019""}"
filing_0000789019_000095017025100235,Filing,"{""form"": ""10-K"", ""accession"": ""0000950170-25-100235""}"
filing_0000789019_000095017025061046,Filing,"{""form"": ""10-Q"", ""accession"": ""0000950170-25-061046""}"
cik_0001652044,Company,"{""cik"": ""0001652044""}"
filing_0001652044_000165204425000014,Filing,"{""form"": ""10-K"", ""accession"": ""0001652044-25-000014""}"
filing_0001652044_000165204425000062,Filing,"{""form"": ""10-Q"", ""accession"": ""0001652044-25-000062""}"
cik_0001018724,Company,"{""cik"": ""0001018724""}"
filing_0001018724_000101872425000004,Filing,"{""form"": ""10-K"", ""accession"": ""0001018724-25-000004""}"
filing_0001018724_000101872425000086,Filing,"{""form"": ""10-Q"", ""accession"": ""0001018724-25-000086""}"
cik_0001326801,Company,"{""cik"": ""0001326801""}"
filing_0001326801_000132680125000017,Filing,"{""form"": ""10-K"", ""accession"": ""0001326801-25-000017""}"
filing_0001326801_000162828025036791,Filing,"{""form"": ""10-Q"", ""accession"": ""0001628280-25-036791""}"
cik_0001045810,Company,"{""cik"": ""0001045810""}"
filing_0001045810_000104581025000023,Filing,"{""form"": ""10-K"", ""accession"": ""0001045810-25-000023""}"
filing_0001045810_000104581025000209,Filing,"{""form"": ""10-Q"", ""accession"": ""0001045810-25-000209""}"
cik_0001318605,Company,"{""cik"": ""0001318605""}"
filing_0001318605_000162828025003063,Filing,"{""form"": ""10-K"", ""accession"": ""0001628280-25-003063""}"
filing_0001318605_000162828025035806,Filing,"{""form"": ""10-Q"", ""accession"": ""0001628280-25-035806""}"
cik_0000019617,Company,"{""cik"": ""0000019617""}"
filing_0000019617_000001961725000270,Filing,"{""form"": ""10-K"", ""accession"": ""0000019617-25-000270""}"
filing_0000019617_000001961725000615,Filing,"{""form"": ""10-Q"", ""accession"": ""0000019617-25-000615""}"
cik_0000070858,Company,"{""cik"": ""0000070858""}"
filing_0000070858_000007085825000139,Filing,"{""form"": ""10-K"", ""accession"": ""0000070858-25-000139""}"
filing_0000070858_000007085825000268,Filing,"{""form"": ""10-Q"", ""accession"": ""0000070858-25-000268""}"
cik_0000072971,Company,"{""cik"": ""0000072971""}"
filing_0000072971_000007297125000066,Filing,"{""form"": ""10-K"", ""accession"": ""0000072971-25-000066""}"
filing_0000072971_000007297125000201,Filing,"{""form"": ""10-Q"", ""accession"": ""0000072971-25-000201""}"
cik_0001403161,Company,"{""cik"": ""0001403161""}"
filing_0001403161_000140316124000058,Filing,"{""form"": ""10-K"", ""accession"": ""0001403161-24-000058""}"
filing_0001403161_000140316125000052,Filing,"{""form"": ""10-Q"", ""accession"": ""0001403161-25-000052""}"
cik_0001141391,Company,"{""cik"": ""0001141391""}"
filing_0001141391_000114139125000011,Filing,"{""form"": ""10-K"", ""accession"": ""0001141391-25-000011""}"
filing_0001141391_000114139125000172,Filing,"{""form"": ""10-Q"", ""accession"": ""0001141391-25-000172""}"
cik_0000354950,Company,"{""cik"": ""0000354950""}"
filing_0000354950_000035495025000085,Filing,"{""form"": ""10-K"", ""accession"": ""0000354950-25-000085""}"
filing_0000354950_000035495025000217,Filing,"{""form"": ""10-Q"", ""accession"": ""0000354950-25-000217""}"
cik_0000060667,Company,"{""cik"": ""0000060667""}"
filing_0000060667_000006066725000049,Filing,"{""form"": ""10-K"", ""accession"": ""0000060667-25-000049""}"
filing_0000060667_000006066725000174,Filing,"{""form"": ""10-Q"", ""accession"": ""0000060667-25-000174""}"
cik_0000909832,Company,"{""cik"": ""0000909832""}"
filing_0000909832_000090983224000049,Filing,"{""form"": ""10-K"", ""accession"": ""0000909832-24-000049""}"
filing_0000909832_000090983225000033,Filing,"{""form"": ""10-Q"", ""accession"": ""0000909832-25-000033""}"
cik_0000104169,Company,"{""cik"": ""0000104169""}"
filing_0000104169_000010416925000021,Filing,"{""form"": ""10-K"", ""accession"": ""0000104169-25-000021""}"
filing_0000104169_000010416925000137,Filing,"{""form"": ""10-Q"", ""accession"": ""0000104169-25-000137""}"
