parent,child,source
us-gaap:Assets,us-gaap:AssetsCurrent,manual
us-gaap:Assets,us-gaap:AssetsNoncurrent,manual
us-gaap:Liabilities,us-gaap:LiabilitiesCurrent,manual
us-gaap:Liabilities,us-gaap:LiabilitiesNoncurrent,manual
us-gaap:StockholdersEquity,us-gaap:RetainedEarningsAccumulatedDeficit,manual
us-gaap:StockholdersEquity,us-gaap:CommonStockValue,manual
us-gaap:Revenues,us-gaap:SalesRevenueNet,manual
us-gaap:Revenues,us-gaap:ContractWithCustomerRevenue,manual
us-gaap:CostsAndExpenses,us-gaap:CostOfGoodsAndServicesSold,manual
us-gaap:CostsAndExpenses,us-gaap:SellingGeneralAndAdministrativeExpense,manual
us-gaap:OperatingIncomeLoss,us-gaap:GrossProfit,manual
us-gaap:OperatingIncomeLoss,us-gaap:OperatingExpenses,manual
us-gaap:NetIncomeLoss,us-gaap:IncomeLossFromContinuingOperations,manual
us-gaap:CashAndCashEquivalentsAtCarryingValue,us-gaap:CashAndCashEquivalentsAtCarryingValueContinuingAndDiscontinuedOperations,manual
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDiscontinuedOperations,manual
us-gaap:Assets,us-gaap:AccountsReceivableNetCurrent,manual
us-gaap:Assets,us-gaap:InventoryNet,manual
us-gaap:Assets,us-gaap:PropertyPlantAndEquipmentNet,manual
us-gaap:Liabilities,us-gaap:AccountsPayableCurrent,manual
us-gaap:Liabilities,us-gaap:LongTermDebtNoncurrent,manual
us-gaap:Liabilities,us-gaap:AccruedLiabilitiesCurrent,manual
us-gaap:Liabilities,us-gaap:DeferredRevenueCurrent,manual
us-gaap:StockholdersEquity,us-gaap:AdditionalPaidInCapital,manual
us-gaap:StockholdersEquity,us-gaap:TreasuryStockValue,manual
us-gaap:Revenues,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,manual
us-gaap:CostsAndExpenses,us-gaap:CostOfRevenue,manual
us-gaap:CostsAndExpenses,us-gaap:ResearchAndDevelopmentExpense,manual
us-gaap:OperatingExpenses,us-gaap:AllocatedShareBasedCompensationExpense,auto
us-gaap:OperatingExpenses,us-gaap:AllocatedShareBasedCompensationExpenseNetOfTax,auto
us-gaap:Assets,us-gaap:AmortizationOfAcquiredIntangibleAssets,auto
us-gaap:Assets,us-gaap:AmortizationOfIntangibleAssets,auto
us-gaap:Assets,us-gaap:AssetImpairmentCharges,auto
us-gaap:Assets,us-gaap:Assets,auto
us-gaap:Assets,us-gaap:AssetsFairValueDisclosure,auto
us-gaap:Assets,us-gaap:AssetsOfDisposalGroupIncludingDiscontinuedOperation,auto
us-gaap:Assets,us-gaap:BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,auto
us-gaap:Assets,us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,auto
us-gaap:Liabilities,us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,auto
us-gaap:Liabilities,us-gaap:BusinessAcquisitionPurchasePriceAllocationDeferredTaxLiabilitiesNoncurrent,auto
us-gaap:Liabilities,us-gaap:BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,auto
us-gaap:Assets,us-gaap:BusinessAcquisitionPurchasePriceAllocationTangibleAssets,auto
us-gaap:Revenues,us-gaap:BusinessAcquisitionsProFormaRevenue,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,auto
us-gaap:Assets,us-gaap:CapitalLeasedAssetsGross,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,auto
us-gaap:Liabilities,us-gaap:ContractWithCustomerLiability,auto
us-gaap:Liabilities,us-gaap:ContractWithCustomerLiabilityCurrent,auto
us-gaap:Liabilities,us-gaap:ContractWithCustomerLiabilityRevenueRecognized,auto
us-gaap:OperatingExpenses,us-gaap:CurrentFederalTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:CurrentForeignTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:CurrentIncomeTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,auto
us-gaap:OperatingExpenses,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,auto
us-gaap:Assets,us-gaap:DeferredIncomeTaxAssetsNet,auto
us-gaap:OperatingExpenses,us-gaap:DeferredIncomeTaxExpenseBenefit,auto
us-gaap:Liabilities,us-gaap:DeferredIncomeTaxLiabilities,auto
us-gaap:Revenues,us-gaap:DeferredRevenue,auto
us-gaap:Revenues,us-gaap:DeferredRevenueCurrent,auto
us-gaap:OperatingExpenses,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsCapitalLossCarryforwards,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsDeferredIncome,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsGross,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsInventory,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsLiabilitiesNet,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsLiabilitiesNetNoncurrent,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsNet,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsNetCurrent,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsNetNoncurrent,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsOperatingLossCarryforwards,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsOther,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwards,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsResearch,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,auto
